"","EFT_ln_k","EFT_s","NCC_ln_k","NCC_s","sigma_sq","Sigma_11","Sigma_12","Sigma_22","n_EFT","n_NCC","EFT_est_ln_k","EFT_est_s","NCC_est_ln_k","NCC_est_s","est_sigma_sq","est_Sigma_11","est_Sigma_12","est_Sigma_22","est_con_sigma_sq","est_con_g","red_est_ln_k","red_est_s","red_est_sigma_sq","red_est_Sigma_11","red_est_Sigma_12","red_est_Sigma_22","red_est_con_sigma_sq","red_est_con_g","mse_ln_k","mse_s","err_inprod","EFT_ln_k_mazur","NCC_ln_k_mazur","est_sigma_sq_mazur","est_g_mazur","EFT_ln_k_nl","EFT_s_nl","NCC_ln_k_nl","NCC_s_nl","var_ln_k_nl","var_s_nl","corr_ln_k_s_nl","var_residual_nl","lik_ut_nl","BIC_ut_nl","deriv_offset","p_value_nl","p_value_nl_lrt","mse_ln_k_nl","mse_s_nl","err_inprod_nl","lik_uc","lik_uc_red","lik_con","lik_con_red","F_con","lik_mazur","F_mazur","BIC_lin_uc","BIC_lin_con","BIC_mazur","BIC_nl","mh_dist_lin","mh_dist_nl"
"1",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.22711439981187,0.707781867650719,-6.01129282715015,0.765251746083776,1.25171979096929,12.6760687967512,-1.58967801783442,0.283574983847781,1.25171979096929,12.6384461621381,-5.61920361348101,0.736516806867248,1.25171979096929,12.8298027482269,-1.60094467755666,0.284400680579559,1.25171979096929,12.7807459809084,2.78859447331074,0.0658871986782769,-0.40750466591232,-6.96807441511742,-7.40986217822124,2.30017293785497,11.1075947868526,-3.83616012542254,0.51652253959315,-4.43572299717541,0.573050143371915,9.33088306,0.20042829,-0.905,0.02231757,102.165308181387,-154.775373233937,1355.09984101923,0.703341187234057,0.648114082263748,6.40936775244234,0.136711929369481,-0.871470226409313,-915.143765278736,-915.685788132261,-933.189389676139,-933.915966644041,0.7094934101249,-986.645189679201,0.833980620418911,1879.84277368631,1903.54521169891,NA,2555.42430880453,0.422223463395347,0.984039600070223
"2",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.68846217480519,0.880843692846639,-6.54412995341263,0.882264309242868,1.26126359265996,8.20246817739193,-0.978905966616133,0.193003016457151,1.26126359265996,10.7645328181514,-6.11629606410891,0.881554001044753,1.26126359265996,8.3855100142287,-0.979209860535138,0.193003520994887,1.26126359265996,11.2624778534585,2.44081032459427,0.0683898431540079,-0.390495279101315,-6.39836461876959,-7.24556873250094,1.87474467270204,12.3264257213098,-4.18794810906956,0.662106199949753,-4.76826945534328,0.660737397393745,4.26234913,0.13385104,-0.825,0.02178974,116.864649468979,-184.174055809121,1308.47824235656,0.168984384537851,0.151494236808653,7.7636591452144,0.145660428505096,-1.00440764554984,-901.544891509345,-903.319154042945,-924.70408019668,-927.605909681452,2.87816464319269,-939.896851400515,3.41874935720098,1852.64502614753,1886.57459273999,NA,2432.78242890401,0.411381724486723,1.06979734899232
"3",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.62443783919877,0.979023564682157,-5.37017094157764,0.807254696379551,1.28483697973663,13.7445999533167,-1.66294470867968,0.263874417579042,1.28483697973663,10.8041452402353,-5.99730439038821,0.893139130530854,1.28483697973663,14.1378963159338,-1.71680571006814,0.271250553608531,1.28483697973663,10.8914921060309,4.06135818191629,0.102623559916051,-0.625573926318879,-6.74941001275423,-6.5184975838821,2.12244544790412,10.4756703148274,-4.67007717391523,0.699392006264117,-3.78176784922829,0.575420186852719,5.3650892,0.1046567,-0.833,0.0264139,76.5901218425973,-103.625000556357,1290.83257303082,0.475177388109972,0.41853371073205,11.0256181776095,0.235132693472886,-1.5730146333782,-913.213703458235,-914.057671245503,-929.476236902153,-929.992307283408,0.503178057641839,-965.067291781922,0.260511548770432,1875.98265004531,1896.11890615093,NA,2478.04014550528,0.59893925458688,1.41148281931024
"4",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.23006253242343,0.924385442026637,-5.87592987438043,0.809350223440484,1.52162767164785,6.25577341552386,-0.700224960076503,0.132534627925569,1.52162767164785,6.79274898431543,-6.05299620340193,0.866867832733561,1.52162767164785,6.28712590039702,-0.710409392008122,0.13584290330436,1.52162767164785,6.87516148419253,2.34232778742279,0.0593231440567583,-0.358293110499741,-6.6805545020637,-7.01177190871499,1.97667835194561,9.03569140370119,-5.00966028158199,0.73266728876679,-4.0458188443834,0.564500472648309,4.51324108,0.07945846,-0.839,0.03115673,52.4339632649702,-55.312683401103,1264.80379074532,0.24312647411042,0.154825604799082,6.93038075475048,0.1705712061784,-1.04445108081796,-920.287075284798,-921.061727210316,-941.849685786297,-942.586086240793,0.719136469418117,-942.942426842118,0.658097077072493,1890.12939369843,1920.86580391922,NA,2474.29489808953,0.357082340394957,1.03732937727641
"5",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.23256777812823,0.810009507847591,-4.45662347666519,0.628536957685643,1.5321946608233,10.9248341227444,-1.1708519567641,0.167697947368955,1.5321946608233,7.65673361707025,-4.84459562739671,0.719273232766617,1.5321946608233,11.0753565124876,-1.20605510455663,0.175931018984526,1.5321946608233,7.75770273430927,2.62875562978917,0.0699852621922057,-0.410718972403762,-6.36448196656815,-6.66970415935213,2.2870370824206,8.62549646506212,-3.30190075721733,0.518785676307611,-2.9432693569145,0.408786240876221,5.36345149,0.09144091,-0.881,0.03403341,26.0441450099775,-2.53304689111754,1209.74892462475,0.239663941409704,0.199633761307284,8.0894648472568,0.182795147025889,-1.16544276436373,-929.59285823191,-931.218741166631,-950.905280216131,-951.717011042835,0.79312824859417,-977.212419047473,0.503596649864196,1908.74095959266,1938.97699277889,NA,2416.96480235839,0.422156613225144,1.1558199087034
"6",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.70680358680962,0.87489504940858,-4.93254883226532,0.730457408563121,1.31895924614871,9.98934461052835,-1.22701635361737,0.211665228590987,1.31895924614871,9.07387455457196,-5.81967620953747,0.802676228985851,1.31895924614871,10.7763395940341,-1.29108364636867,0.216880786614237,1.31895924614871,9.66290584003601,3.05461141148814,0.0820929688834481,-0.484418810859952,-7.45214650904863,-6.53841384256026,2.07699872969946,9.34755393051738,-5.17311620267759,0.691468862216531,-3.51921456479021,0.520553971167997,6.00454219,0.10960623,-0.868,0.02502581,90.380910041818,-131.206576954799,1286.32683085891,0.067604432939464,0.0441142450746331,7.84945521396847,0.162108558984113,-1.07003306277205,-907.950854596012,-910.931898698451,-924.802587961456,-928.780378534443,3.97603992332595,-956.142500406145,4.62286631757028,1865.45695232086,1886.77160826954,NA,2441.44708476303,0.475568413189665,1.11017606746163
"7",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.40164461944833,0.772966682602247,-5.47980369197486,0.66310102806082,1.19766745110151,6.34877028132241,-0.66340323437038,0.125316980326438,1.19766745110151,9.38183933930912,-5.44072415571159,0.718033855331533,1.19766745110151,6.35029749147698,-0.661256484955012,0.128334595838392,1.19766745110151,9.79646333202034,2.94439327492321,0.0897006449131064,-0.498899105361719,-6.75425037513505,-7.48696058750452,1.81353843546111,10.82344695937,-4.24949944605769,0.610096242705814,-3.90797180764684,0.479615538576947,3.26984355,0.06423604,-0.742,0.0237536,110.602629696871,-171.650016264905,1262.66084542905,0.136542732254488,0.108825555615023,6.16658321630659,0.133154885148685,-0.854026073692449,-876.816240108475,-878.671639017771,-903.276034871296,-906.017273293219,2.7157453109113,-927.576410964716,2.9794807169883,1803.18772334579,1843.71850208922,NA,2353.67167459319,0.504882912666563,0.91339342659213
"8",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.64303122164529,0.893632247668079,-5.52839209436291,0.751829834007258,1.21647011368573,8.5427706911979,-1.03397416400328,0.190366419075525,1.21647011368573,9.96359140903989,-6.0857116580041,0.822731040837668,1.21647011368573,8.85337578721512,-1.07348879365564,0.195393400205533,1.21647011368573,10.0526926551324,2.73247786296425,0.0767517967109776,-0.439396175779557,-7.2767427652755,-7.00692572440021,1.88857733409879,10.6874877680648,-4.87768375004772,0.657825327515212,-4.26501576918962,0.586160651419956,4.81423563,0.11095848,-0.796,0.02158494,121.016724470919,-192.478205813,1313.08786058487,0.690728476701302,0.704007040169248,6.7685571898103,0.140122328765917,-0.946992725372817,-890.860449959021,-891.823188806749,-910.909037343468,-911.475628986312,0.552636860335499,-937.104874975807,0.392491059880814,1831.27614304688,1858.98450703356,NA,2433.69751535674,0.455051062041417,0.870330304794617
"9",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-5.80110320737425,0.803424468670321,-6.13273552796735,0.848148050473063,1.31015665402264,8.98802699027128,-0.951651013887606,0.158860325230863,1.31015665402264,9.85981773128188,-5.9669193676708,0.825786259571692,1.31015665402264,9.01552198928676,-0.955358960192225,0.159360374923179,1.31015665402264,9.86604806836757,2.4909255339827,0.0667153859157345,-0.391547134126467,-6.97224935522299,-7.03743014854826,1.87230858901628,11.9901419395259,-4.3456195087495,0.604678810957863,-4.22526979194071,0.587478856636162,4.99814976,0.09612749,-0.83,0.02326166,106.438048110577,-163.320853092317,1293.83676900889,0.985285520689275,0.970746073229844,7.41901645619006,0.151980870095571,-1.01931958968677,-903.93050928655,-904.016038287076,-928.42069318673,-928.460841055817,0.0390119735257511,-938.683748993501,0.0207871485361572,1857.41626170194,1894.00781872009,NA,2424.35268492546,0.397393590533125,0.999388668347057
"10",-5.86,0.83,-5.86,0.83,1.359326,9.604077,-1.1484446,0.2002995,35,35,-6.09058446099076,0.799824543029742,-5.00600324258273,0.768644197304901,1.34524100525784,10.1598501851488,-1.1984605679468,0.199405143676291,1.34524100525784,9.01225978301311,-5.54829385178675,0.784234370167321,1.34524100525784,10.4539292899796,-1.20691497228595,0.199648197166171,1.34524100525784,9.53933880724075,3.4821834504768,0.0952503441583204,-0.560229016368249,-7.28317803425398,-6.38436124714233,2.07479089667961,9.62627291488162,-4.249642339189,0.561758050165113,-3.77137861860367,0.586144609167093,5.64915268,0.12714783,-0.867,0.02738065,69.6419097433246,-89.7285763578119,1270.16995534409,0.120425753775465,0.109313434700651,7.3824632604204,0.141602911670476,-0.963240801331141,-910.99280155409,-913.191901979686,-929.207033549589,-932.798347778681,3.57974867055365,-956.81220626933,4.36047712019405,1871.54084623702,1895.58049944581,NA,2450.61133433037,0.538202915008281,1.03545953712422
